Stance_Phase,Angle
0.0,0.0
1.0101010101010102,0.09494949494949495
2.0202020202020203,0.1898989898989899
3.0303030303030303,0.28484848484848485
4.040404040404041,0.3797979797979798
5.050505050505051,0.4747474747474748
6.0606060606060606,0.5696969696969697
7.070707070707071,0.696969696969697
8.080808080808081,0.8393939393939395
9.090909090909092,0.9818181818181819
10.101010101010102,1.1242424242424245
11.111111111111112,1.2444444444444445
12.121212121212121,1.3393939393939394
13.131313131313131,1.4343434343434343
14.141414141414142,1.5292929292929294
15.151515151515152,1.6242424242424245
16.161616161616163,1.7191919191919194
17.171717171717173,1.8282828282828287
18.181818181818183,2.018181818181819
19.191919191919194,2.208080808080809
20.202020202020204,2.397979797979799
21.212121212121215,2.5878787878787883
22.222222222222225,2.777777777777778
23.232323232323235,2.967676767676768
24.242424242424242,3.196969696969697
25.252525252525253,3.4343434343434343
26.262626262626263,3.774747474747475
27.272727272727273,4.154545454545455
28.282828282828284,4.387878787878788
29.292929292929294,4.53030303030303
30.303030303030305,4.745454545454546
31.313131313131315,5.03030303030303
32.323232323232325,5.353535353535354
33.333333333333336,5.733333333333334
34.343434343434346,6.141414141414143
35.35353535353536,6.616161616161619
36.36363636363637,7.0909090909090935
37.37373737373738,7.565656565656569
38.38383838383839,8.020202020202023
39.3939393939394,8.25757575757576
40.40404040404041,8.494949494949495
41.41414141414142,8.732323232323234
42.42424242424243,8.96969696969697
43.43434343434344,9.621212121212126
44.44444444444445,10.33333333333334
45.45454545454546,11.04545454545455
46.46464646464647,11.757575757575761
47.47474747474748,12.313131313131315
48.484848484848484,12.787878787878787
49.494949494949495,13.262626262626263
50.505050505050505,13.737373737373737
51.515151515151516,14.212121212121213
52.525252525252526,14.686868686868689
53.535353535353536,15.161616161616163
54.54545454545455,15.636363636363638
55.55555555555556,16.111111111111114
56.56565656565657,16.58585858585859
57.57575757575758,17.078787878787878
58.58585858585859,17.695959595959597
59.5959595959596,18.31010101010101
60.60606060606061,18.78484848484849
61.61616161616162,19.259595959595963
62.62626262626263,19.821212121212124
63.63636363636364,20.39090909090909
64.64646464646465,20.9989898989899
65.65656565656566,21.61616161616162
66.66666666666667,22.033333333333335
67.67676767676768,22.36565656565657
68.68686868686869,22.358585858585858
69.6969696969697,22.121212121212118
70.70707070707071,21.767676767676765
71.71717171717172,21.292929292929287
72.72727272727273,20.72727272727272
73.73737373737374,20.015151515151505
74.74747474747475,19.303030303030294
75.75757575757576,18.59090909090908
76.76767676767678,17.838383838383823
77.77777777777779,16.88888888888888
78.7878787878788,15.939393939393936
79.7979797979798,14.989898989898984
80.80808080808082,14.040404040404034
81.81818181818183,12.863636363636354
82.82828282828284,11.676767676767666
83.83838383838385,10.489898989898979
84.84848484848486,9.30303030303029
85.85858585858587,8.116161616161602
86.86868686868688,6.929292929292913
87.87878787878789,5.742424242424225
88.8888888888889,4.555555555555538
89.89898989898991,3.368686868686849
90.90909090909092,2.181818181818161
91.91919191919193,0.9949494949494757
92.92929292929294,-0.19191919191920448
93.93939393939395,-1.3030303030303099
94.94949494949496,-2.2525252525252606
95.95959595959597,-3.1515151515151585
96.96969696969697,-3.863636363636361
97.97979797979798,-4.525252525252525
98.98989898989899,-4.762626262626262
100.0,-5.0
